AGENCY,TRANSACTION_DATE,TRANSACTION_AMOUNT
Advisory Neighborhood Commission,2018-11-30 00:00:00+00:00,95.55499999999999
Advisory Neighborhood Commission,2018-12-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2019-01-31 00:00:00+00:00,28.225
Advisory Neighborhood Commission,2019-02-28 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2019-03-31 00:00:00+00:00,135.595
Advisory Neighborhood Commission,2019-04-30 00:00:00+00:00,79.49
Advisory Neighborhood Commission,2019-05-31 00:00:00+00:00,16.99
Advisory Neighborhood Commission,2019-06-30 00:00:00+00:00,47.88
Advisory Neighborhood Commission,2019-07-31 00:00:00+00:00,73.5
Advisory Neighborhood Commission,2019-08-31 00:00:00+00:00,46.724999999999994
Advisory Neighborhood Commission,2019-09-30 00:00:00+00:00,776.515
Advisory Neighborhood Commission,2019-10-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2019-11-30 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2019-12-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2020-01-31 00:00:00+00:00,135.05666666666667
Advisory Neighborhood Commission,2020-02-29 00:00:00+00:00,155.8
Alcoholic Beverage Regulation Administration,2009-01-31 00:00:00+00:00,711.318
Alcoholic Beverage Regulation Administration,2009-02-28 00:00:00+00:00,1077.7283333333332
Alcoholic Beverage Regulation Administration,2009-03-31 00:00:00+00:00,205.12333333333333
Alcoholic Beverage Regulation Administration,2009-04-30 00:00:00+00:00,741.9050000000001
Alcoholic Beverage Regulation Administration,2009-05-31 00:00:00+00:00,593.9699999999999
Alcoholic Beverage Regulation Administration,2009-06-30 00:00:00+00:00,918.7799999999999
Alcoholic Beverage Regulation Administration,2009-07-31 00:00:00+00:00,372.2475
Alcoholic Beverage Regulation Administration,2009-08-31 00:00:00+00:00,977.6828571428572
Alcoholic Beverage Regulation Administration,2009-09-30 00:00:00+00:00,1101.5857142857144
Alcoholic Beverage Regulation Administration,2009-10-31 00:00:00+00:00,490.81000000000006
Alcoholic Beverage Regulation Administration,2009-11-30 00:00:00+00:00,846.5283333333333
Alcoholic Beverage Regulation Administration,2009-12-31 00:00:00+00:00,637.8166666666667
Alcoholic Beverage Regulation Administration,2010-01-31 00:00:00+00:00,338.2625
Alcoholic Beverage Regulation Administration,2010-02-28 00:00:00+00:00,266.5383333333333
Alcoholic Beverage Regulation Administration,2010-03-31 00:00:00+00:00,370.95384615384614
Alcoholic Beverage Regulation Administration,2010-04-30 00:00:00+00:00,327.59999999999997
Alcoholic Beverage Regulation Administration,2010-05-31 00:00:00+00:00,334.834375
Alcoholic Beverage Regulation Administration,2010-06-30 00:00:00+00:00,365.29352941176467
Alcoholic Beverage Regulation Administration,2010-07-31 00:00:00+00:00,343.8707692307692
Alcoholic Beverage Regulation Administration,2010-08-31 00:00:00+00:00,510.38214285714287
Alcoholic Beverage Regulation Administration,2010-09-30 00:00:00+00:00,722.262
Alcoholic Beverage Regulation Administration,2010-10-31 00:00:00+00:00,309.5228571428571
Alcoholic Beverage Regulation Administration,2010-11-30 00:00:00+00:00,485.36555555555555
Alcoholic Beverage Regulation Administration,2010-12-31 00:00:00+00:00,462.35099999999994
Alcoholic Beverage Regulation Administration,2011-01-31 00:00:00+00:00,447.63428571428574
Alcoholic Beverage Regulation Administration,2011-02-28 00:00:00+00:00,585.8518181818181
Alcoholic Beverage Regulation Administration,2011-03-31 00:00:00+00:00,394.55181818181813
Alcoholic Beverage Regulation Administration,2011-04-30 00:00:00+00:00,267.61533333333335
