AGENCY,TRANSACTION_DATE,Diff
Alcoholic Beverage Regulation Administration,2009-10-31 00:00:00+00:00,352.738
Alcoholic Beverage Regulation Administration,2009-11-30 00:00:00+00:00,-269.785
Alcoholic Beverage Regulation Administration,2009-12-31 00:00:00+00:00,5.23666666666666
Alcoholic Beverage Regulation Administration,2010-01-31 00:00:00+00:00,-14.95875000000001
Alcoholic Beverage Regulation Administration,2010-02-28 00:00:00+00:00,0.8116666666666674
Alcoholic Beverage Regulation Administration,2010-03-31 00:00:00+00:00,48.16
Alcoholic Beverage Regulation Administration,2010-04-30 00:00:00+00:00,97.43333333333332
Alcoholic Beverage Regulation Administration,2010-05-31 00:00:00+00:00,-67.51750000000001
Alcoholic Beverage Regulation Administration,2010-06-30 00:00:00+00:00,-2.8823529411764772
Alcoholic Beverage Regulation Administration,2010-07-31 00:00:00+00:00,0.0
Alcoholic Beverage Regulation Administration,2010-08-31 00:00:00+00:00,31.90214285714285
Alcoholic Beverage Regulation Administration,2010-09-30 00:00:00+00:00,-119.66999999999999
Alcoholic Beverage Regulation Administration,2010-10-31 00:00:00+00:00,29.210000000000004
Alcoholic Beverage Regulation Administration,2010-11-30 00:00:00+00:00,12.92777777777778
Alcoholic Beverage Regulation Administration,2010-12-31 00:00:00+00:00,-31.011000000000003
Alcoholic Beverage Regulation Administration,2011-01-31 00:00:00+00:00,0.2671428571428415
Alcoholic Beverage Regulation Administration,2011-02-28 00:00:00+00:00,67.55818181818182
Alcoholic Beverage Regulation Administration,2011-03-31 00:00:00+00:00,-25.45454545454545
Alcoholic Beverage Regulation Administration,2011-04-30 00:00:00+00:00,-12.400000000000007
Alcoholic Beverage Regulation Administration,2011-05-31 00:00:00+00:00,-37.596666666666685
Alcoholic Beverage Regulation Administration,2011-06-30 00:00:00+00:00,50.12153846153843
Alcoholic Beverage Regulation Administration,2011-07-31 00:00:00+00:00,-62.25636363636363
Alcoholic Beverage Regulation Administration,2011-08-31 00:00:00+00:00,58.22461538461536
Alcoholic Beverage Regulation Administration,2011-09-30 00:00:00+00:00,-58.22461538461539
Alcoholic Beverage Regulation Administration,2011-10-31 00:00:00+00:00,44.05846153846156
Alcoholic Beverage Regulation Administration,2011-11-30 00:00:00+00:00,65.543
Alcoholic Beverage Regulation Administration,2011-12-31 00:00:00+00:00,-0.3579999999999927
Alcoholic Beverage Regulation Administration,2012-01-31 00:00:00+00:00,-14.4
Alcoholic Beverage Regulation Administration,2012-02-29 00:00:00+00:00,-1.3414285714285694
Alcoholic Beverage Regulation Administration,2012-03-31 00:00:00+00:00,116.53249999999998
Alcoholic Beverage Regulation Administration,2012-04-30 00:00:00+00:00,-364.99166666666673
Alcoholic Beverage Regulation Administration,2012-05-31 00:00:00+00:00,45.34
Alcoholic Beverage Regulation Administration,2012-06-30 00:00:00+00:00,-157.63
Alcoholic Beverage Regulation Administration,2012-07-31 00:00:00+00:00,24.212727272727275
Alcoholic Beverage Regulation Administration,2012-08-31 00:00:00+00:00,36.222666666666676
Alcoholic Beverage Regulation Administration,2012-09-30 00:00:00+00:00,-14.751249999999999
Alcoholic Beverage Regulation Administration,2012-10-31 00:00:00+00:00,-28.57842105263157
Alcoholic Beverage Regulation Administration,2012-11-30 00:00:00+00:00,-9.811538461538458
Alcoholic Beverage Regulation Administration,2012-12-31 00:00:00+00:00,2.6155555555555643
Alcoholic Beverage Regulation Administration,2013-01-31 00:00:00+00:00,144.98428571428573
Alcoholic Beverage Regulation Administration,2013-02-28 00:00:00+00:00,-188.08800000000002
Alcoholic Beverage Regulation Administration,2013-03-31 00:00:00+00:00,29.90285714285714
Alcoholic Beverage Regulation Administration,2013-04-30 00:00:00+00:00,-17.075999999999993
Alcoholic Beverage Regulation Administration,2013-05-31 00:00:00+00:00,6.031000000000001
Alcoholic Beverage Regulation Administration,2013-06-30 00:00:00+00:00,24.60999999999999
Alcoholic Beverage Regulation Administration,2013-07-31 00:00:00+00:00,50.433333333333316
Alcoholic Beverage Regulation Administration,2013-08-31 00:00:00+00:00,-77.61449999999999
Alcoholic Beverage Regulation Administration,2013-09-30 00:00:00+00:00,-25.923571428571417
Alcoholic Beverage Regulation Administration,2013-10-31 00:00:00+00:00,70.214
Alcoholic Beverage Regulation Administration,2013-11-30 00:00:00+00:00,293.0875
Alcoholic Beverage Regulation Administration,2013-12-31 00:00:00+00:00,-190.1428571428571
Alcoholic Beverage Regulation Administration,2014-01-31 00:00:00+00:00,122.36357142857142
Alcoholic Beverage Regulation Administration,2014-02-28 00:00:00+00:00,-105.43357142857144
Alcoholic Beverage Regulation Administration,2014-03-31 00:00:00+00:00,38.60565217391304
Alcoholic Beverage Regulation Administration,2014-04-30 00:00:00+00:00,-144.16166666666666
Alcoholic Beverage Regulation Administration,2014-05-31 00:00:00+00:00,66.99000000000004
Alcoholic Beverage Regulation Administration,2014-06-30 00:00:00+00:00,-5.4029411764705895
Alcoholic Beverage Regulation Administration,2014-07-31 00:00:00+00:00,-6.219999999999997
Alcoholic Beverage Regulation Administration,2014-08-31 00:00:00+00:00,229.22
Alcoholic Beverage Regulation Administration,2014-09-30 00:00:00+00:00,-109.26999999999997
Alcoholic Beverage Regulation Administration,2014-10-31 00:00:00+00:00,9.996875
Alcoholic Beverage Regulation Administration,2014-11-30 00:00:00+00:00,-41.32363636363638
Alcoholic Beverage Regulation Administration,2014-12-31 00:00:00+00:00,204.13416666666663
Alcoholic Beverage Regulation Administration,2015-01-31 00:00:00+00:00,-94.66666666666671
Alcoholic Beverage Regulation Administration,2015-02-28 00:00:00+00:00,-63.849999999999994
Alcoholic Beverage Regulation Administration,2015-03-31 00:00:00+00:00,39.620000000000005
Alcoholic Beverage Regulation Administration,2015-04-30 00:00:00+00:00,16.942777777777778
Alcoholic Beverage Regulation Administration,2015-05-31 00:00:00+00:00,-53.21666666666667
Alcoholic Beverage Regulation Administration,2015-06-30 00:00:00+00:00,-23.29285714285717
Alcoholic Beverage Regulation Administration,2015-07-31 00:00:00+00:00,0.0
Alcoholic Beverage Regulation Administration,2015-08-31 00:00:00+00:00,2.0849999999999986
Alcoholic Beverage Regulation Administration,2015-09-30 00:00:00+00:00,32.46571428571432
Alcoholic Beverage Regulation Administration,2015-10-31 00:00:00+00:00,9.373571428571429
Alcoholic Beverage Regulation Administration,2015-11-30 00:00:00+00:00,-43.86357142857143
Alcoholic Beverage Regulation Administration,2015-12-31 00:00:00+00:00,0.0
Alcoholic Beverage Regulation Administration,2016-01-31 00:00:00+00:00,37.12400000000004
Alcoholic Beverage Regulation Administration,2016-02-29 00:00:00+00:00,-32.86944444444446
